frame,time_s,position_mm,raw_x,raw_y,points_tracked
725,54.848,260.75,1736,494,1
726,54.9127,260.85,1736,492,1
727,54.9784,260.91,1737,494,1
728,55.0461,261.17,1738,492,1
729,55.1109,260.96,1737,493,1
730,55.1765,261.17,1738,492,1
731,55.2529,260.96,1737,493,1
732,55.3212,260.96,1737,493,1
733,55.415,260.91,1737,494,1
734,55.4793,260.8,1736,493,1
735,55.5466,260.91,1737,494,1
736,55.6146,260.8,1736,493,1
737,55.7113,260.96,1737,493,1
738,55.7786,260.8,1736,493,1
739,55.8468,260.8,1736,493,1
740,55.9528,260.8,1736,493,1
741,56.0182,260.96,1737,493,1
742,56.0853,260.8,1736,493,1
743,56.1485,260.96,1737,493,1
744,56.2158,260.91,1737,494,1
745,56.3119,260.96,1737,493,1
746,56.3829,260.96,1737,493,1
747,56.484,260.91,1737,494,1
748,56.5832,260.85,1736,492,1
749,56.6804,260.96,1737,493,1
750,56.7448,260.96,1737,493,1
751,56.8148,261.12,1738,493,1
752,56.8813,260.96,1737,493,1
753,56.9572,260.96,1737,493,1
754,57.0523,260.91,1737,494,1
755,57.1229,260.64,1735,493,1
756,57.2199,260.96,1737,493,1
757,57.3156,260.96,1737,493,1
758,57.4181,260.96,1737,493,1
759,57.5128,260.8,1736,493,1
760,57.6123,260.96,1737,493,1
761,57.6793,260.96,1737,493,1
762,57.7449,260.8,1736,493,1
763,57.8133,260.96,1737,493,1
764,57.8802,260.8,1736,493,1
765,57.9491,260.96,1737,493,1
766,58.0199,260.8,1736,493,1
767,58.116,261.01,1737,492,1
768,58.1836,260.96,1737,493,1
769,58.2816,260.8,1736,493,1
770,58.3498,260.8,1736,493,1
771,58.4216,260.96,1737,493,1
772,58.4861,260.8,1736,493,1
